name,comment,sentiment_type,polarity,subjectivity
Aryan Sharma,Believe This course bery easy very helpful watched 34 courses didnt understand after watched course learned now i am discord bot developer Thanks shraddha didi amd aman bhaiya Thanks,Positive,0.2583333333333333,0.3833333333333333
venkat vlogs,loved way explanation maintain enthusiasm you doing did felt bored even a sec good,Positive,0.19999999999999998,0.75
Granide Gamer,Thanks lot didi youre best teacher I learned java your valuable free course Thank,Positive,0.5333333333333333,0.43333333333333335
Saleha Shamim,Its really easy understand I think teacher took 1 year taught us,Positive,0.43333333333333335,0.8333333333333334
Lunatic,Please continue course till advanced level It very helpful,Positive,0.30000000000000004,0.44999999999999996
Leo Messi,Please continue lecture advanced topics python,Positive,0.4,0.6
Skyscraper,Thanks the video well I know every part video except continue Break this very useful me understand this part Thanks lot,Positive,0.26333333333333336,0.13333333333333333
Swati Verman,Its great plz also make python video same c full course,Positive,0.3833333333333333,0.47500000000000003
Cook with Vaidehi,HI mam thank so much please upload videos python please are really learning you also data scientist interviews prep,Positive,0.2,0.2
Sahil Patel,thank didi making course got basic knowledge python we move explore new topics and in time new fields,Positive,0.0909090909090909,0.3446969696969697
Vidhi Kejariwal,Please continue python series am class 10 my brother told that 5 years everything be computer in computer language,Positive,0.0,0.0
Iqbal Qureshi,Mam I installed pyscripter watching beginning tutorial after sometime you installed pycharm aslo so to now pyscripter I kept or uninstall,Neutral,0.0,0.0
Motivational Skies,Apna College dear valuable brother everyone pls make python other programming languages like c c beginners advance level really liked way guys teach Thank very much Apna College,Positive,0.245,0.47833333333333333
Meet Vora,is useful the first time ive completed language tutorial one shot,Positive,0.275,0.16666666666666666
PRINCE 9.0,In program To print sum two numbers will use int function input function by we dont to convert string integer value,Positive,0.0,0.0
Elixir Motivation,5306 thanks lot didi explaing concept so much ease I dont know I always stuck these star pattern thanks again,Positive,0.20000000000000004,0.20000000000000004
Vijaysing Dobhal,Please continue python series beginner advanced level,Positive,0.4,0.6
Vijaysing Dobhal,Please continue python series beginner advanced level,Positive,0.4,0.6
Vijaysing Dobhal,Please continue python series beginner advanced level,Positive,0.4,0.6
Hargun Rana,mini project u just use the eval a string eval22,Neutral,0.0,0.0
Vijaysing Dobhal,Please continue python series beginner advanced level,Positive,0.4,0.6
Vijaysing Dobhal,Please continue python series beginner advanced level,Positive,0.4,0.6
